NU_INSCRICAO;TP_SEXO;SG_UF_ESC;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
2,10054E+11;F;GO;H;B;F;B;5;D;A;C;D;A;B;B;B;B;A;B;A;A;B;A;A;E;A;B;B
2,10054E+11;M;GO;F;G;B;D;4;F;A;C;D;B;A;B;A;B;A;B;A;B;B;A;A;D;A;B;B
2,10053E+11;F;GO;E;B;D;D;4;D;A;C;C;B;A;C;B;B;A;B;A;A;C;A;A;E;A;B;B
2,10052E+11;F;GO;E;E;C;B;5;C;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;B
2,10054E+11;F;GO;C;E;B;B;5;C;A;B;D;B;A;B;A;A;A;B;A;A;B;A;A;D;A;B;B
2,10054E+11;F;GO;H;H;B;B;3;B;A;B;C;A;B;B;A;B;A;B;A;A;B;A;A;A;A;A;B
2,10054E+11;M;GO;D;D;D;B;5;B;B;B;C;A;A;B;B;A;A;B;A;A;B;A;A;D;A;A;B
2,10051E+11;M;GO;H;B;F;B;5;D;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;D;A;A;B
2,10053E+11;F;GO;E;G;F;D;3;J;A;B;D;B;A;B;A;B;A;B;A;A;B;B;B;E;B;B;B
2,10052E+11;F;GO;G;F;D;D;4;F;A;B;C;B;B;B;A;B;A;B;A;A;B;A;A;D;A;B;B
2,10054E+11;F;GO;F;E;E;D;2;F;A;C;D;A;A;B;A;A;A;B;A;A;B;A;A;D;B;C;B
2,10053E+11;M;GO;B;B;F;F;2;B;A;C;D;B;C;B;A;A;A;A;A;A;B;B;A;A;A;B;B
2,10053E+11;F;GO;E;E;F;B;4;B;A;C;D;A;B;B;A;A;A;A;A;A;B;A;A;B;A;B;B
2,10053E+11;F;GO;F;G;E;D;5;H;D;D;E;B;A;B;B;B;A;B;A;A;C;A;A;C;A;C;B
2,10052E+11;F;GO;B;E;B;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10051E+11;F;GO;B;D;C;C;3;D;A;C;C;A;A;B;B;B;A;A;A;A;B;A;A;D;B;B;B
2,10053E+11;M;GO;E;C;D;B;5;E;A;C;C;B;A;B;B;B;A;B;A;A;B;A;A;E;A;A;B
2,10054E+11;F;GO;E;E;A;A;4;D;A;C;D;B;A;B;B;B;A;A;A;A;B;A;A;C;A;B;B
2,10054E+11;F;GO;C;C;A;B;4;E;D;C;D;B;B;C;A;B;B;B;A;A;C;A;B;E;A;A;B
2,10052E+11;F;GO;E;E;B;B;4;D;A;C;D;B;B;B;A;B;A;B;A;B;B;A;A;D;A;B;B
2,10051E+11;F;GO;H;F;F;B;4;C;A;B;E;B;A;B;A;A;A;B;A;A;B;A;A;E;A;B;B
2,10053E+11;F;GO;G;G;E;D;4;K;A;C;D;B;A;B;B;B;A;B;A;A;C;A;A;D;A;B;B
2,10054E+11;F;GO;D;E;C;C;4;C;A;B;D;B;B;B;B;B;A;B;A;A;B;A;A;C;A;A;B
2,10053E+11;F;GO;F;E;D;B;3;F;A;B;D;B;A;B;B;B;A;A;A;B;B;A;A;D;A;B;B
2,10052E+11;F;GO;C;E;F;F;5;C;A;C;E;C;A;C;C;B;A;C;A;A;D;B;B;D;B;A;B
2,10053E+11;M;GO;E;E;C;C;3;D;A;C;E;B;B;B;A;B;B;B;A;A;B;A;A;D;A;A;B
2,10054E+11;F;GO;B;D;A;C;4;D;A;B;D;B;A;B;B;B;A;A;A;A;B;A;A;D;A;A;B
2,10051E+11;M;GO;B;C;F;D;5;D;A;B;D;A;B;B;A;B;A;A;A;A;B;A;A;E;A;A;B
2,10054E+11;F;GO;B;A;A;A;3;B;A;B;C;B;B;B;A;A;A;A;A;A;A;A;A;C;A;A;B
2,10052E+11;M;GO;C;B;D;D;3;B;A;D;C;B;A;B;C;B;A;A;A;A;C;A;A;D;A;B;B
2,10054E+11;M;GO;E;E;D;B;4;E;A;D;D;B;B;B;B;B;A;A;A;A;B;A;A;D;A;B;B
2,10054E+11;F;GO;H;E;F;B;2;B;A;B;B;A;A;B;B;A;A;B;A;A;B;A;A;C;A;A;B
2,10052E+11;M;GO;G;G;D;B;3;B;A;C;D;B;A;B;A;B;A;A;A;A;C;A;A;D;A;C;B
2,10051E+11;F;GO;C;D;A;A;5;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,10052E+11;M;GO;C;E;A;A;4;E;A;B;C;B;B;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,10054E+11;F;GO;F;G;D;D;4;M;B;C;C;B;A;B;B;B;A;B;A;A;C;A;A;D;A;C;B
2,10053E+11;F;GO;C;C;A;C;4;B;A;B;D;B;B;B;A;A;A;B;A;A;B;A;A;D;A;A;B
2,10052E+11;F;GO;E;E;D;D;5;D;A;C;D;B;A;B;B;B;A;A;A;A;B;A;A;D;A;A;B
2,10053E+11;F;GO;C;C;B;A;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
2,10051E+11;M;GO;E;G;C;D;4;I;B;C;C;C;B;B;B;B;A;B;A;A;C;A;B;E;A;C;B
2,10054E+11;F;GO;E;C;D;D;3;F;A;D;D;B;A;B;B;B;A;B;A;B;C;A;B;D;B;B;B
2,10053E+11;M;GO;B;C;B;B;5;C;A;C;D;B;A;B;A;B;A;B;A;A;B;A;A;C;A;A;A
2,10052E+11;M;GO;B;B;B;B;3;C;A;B;C;B;A;B;A;A;A;B;A;A;B;A;A;C;A;A;A
2,10054E+11;F;GO;E;E;B;C;4;D;A;B;C;A;A;B;A;B;A;B;A;A;C;A;A;E;A;A;B
2,10054E+11;F;GO;E;E;B;B;2;C;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;B;B
2,10051E+11;F;GO;H;F;C;D;3;F;A;B;D;A;A;B;B;B;A;B;A;A;C;B;A;D;A;C;B
2,10053E+11;M;GO;A;B;A;B;4;D;A;C;D;A;A;B;A;A;A;A;A;A;B;B;A;D;A;B;B
2,10053E+11;F;GO;E;B;D;A;4;H;A;C;D;B;A;B;B;B;B;B;A;A;B;B;A;E;B;C;B
2,10052E+11;M;GO;E;E;E;C;4;I;B;D;D;B;B;B;B;B;A;B;A;A;C;A;B;E;A;B;B
2,10052E+11;F;GO;D;C;B;B;2;C;A;B;B;A;A;B;B;B;A;A;A;A;B;B;A;C;A;A;B
2,10054E+11;M;GO;H;E;F;C;3;C;A;B;C;A;A;B;B;A;A;A;A;A;B;B;B;C;B;A;B
2,10053E+11;F;GO;B;B;F;B;2;C;A;C;D;A;A;C;C;B;A;A;A;A;B;B;A;C;A;A;B
2,10052E+11;F;GO;B;C;B;B;3;D;A;C;C;B;A;B;B;B;A;B;A;A;C;A;B;D;B;B;B
2,10053E+11;F;GO;F;E;B;B;4;D;A;B;C;B;B;B;B;B;A;B;A;B;B;A;A;D;A;B;B
2,10054E+11;F;GO;D;E;C;B;5;C;A;B;C;B;A;C;B;B;A;A;A;A;B;B;A;E;A;C;B
2,10054E+11;F;GO;B;C;A;B;8;C;C;B;D;A;A;B;B;B;A;A;A;A;C;B;A;D;A;A;A
2,10054E+11;M;GO;B;B;A;B;3;D;A;B;D;A;B;B;B;B;A;A;A;A;C;A;A;D;A;A;B
2,10054E+11;M;GO;B;E;C;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;B;D;B;A;B
2,10053E+11;M;GO;F;G;D;D;4;E;A;B;D;B;B;B;A;B;A;B;A;A;B;A;A;D;A;B;B
2,10053E+11;F;GO;B;C;F;F;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,10053E+11;F;GO;G;F;D;D;4;I;A;B;D;C;B;B;A;B;A;A;A;A;B;A;A;E;A;B;B
2,10052E+11;F;GO;A;B;D;C;4;F;A;B;D;B;A;B;A;A;A;A;A;A;B;A;A;E;A;A;B
2,10051E+11;M;GO;D;B;E;D;6;D;A;C;E;A;D;C;C;C;A;C;A;B;C;B;B;E;A;B;B
2,10051E+11;F;GO;B;E;B;B;4;D;B;B;C;B;A;B;A;B;A;B;A;A;B;B;A;D;A;A;B
2,10054E+11;M;GO;H;D;C;F;4;A;A;B;D;B;A;B;B;B;A;B;A;B;B;A;A;B;A;B;B
2,10054E+11;M;GO;D;E;C;B;5;B;A;C;D;A;A;B;A;B;A;B;A;A;B;A;A;D;A;A;A
2,10053E+11;F;GO;C;E;B;B;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,10054E+11;F;GO;F;E;E;B;4;O;A;C;D;B;A;B;A;B;A;A;A;B;D;A;B;E;A;B;B
2,10054E+11;M;GO;C;D;F;F;4;E;A;C;D;B;A;B;B;B;A;B;A;B;B;A;B;E;A;B;B
2,10054E+11;M;GO;C;C;C;B;3;C;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10052E+11;F;GO;E;G;C;D;5;G;C;C;D;C;A;B;B;B;B;A;A;A;C;A;A;D;A;B;B
2,10053E+11;F;GO;C;C;C;B;3;C;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;C;A;A;B
2,10053E+11;F;GO;B;E;C;D;3;E;A;C;C;B;C;B;A;B;A;A;A;A;B;B;A;D;A;B;B
2,10053E+11;F;GO;F;F;D;B;3;G;A;C;C;B;A;B;B;B;A;B;A;A;C;A;A;C;A;B;B
2,10053E+11;F;GO;C;E;B;B;4;C;A;B;C;A;B;B;B;A;A;A;A;A;B;A;A;D;A;A;B
2,10054E+11;F;GO;C;D;C;B;4;G;A;B;C;B;B;B;B;A;A;A;A;A;B;A;A;C;A;A;B
2,10054E+11;F;GO;E;F;C;C;4;F;A;C;D;B;B;B;A;B;A;B;A;B;B;A;A;E;A;B;B
2,10054E+11;M;GO;E;F;A;D;6;G;A;C;D;B;A;B;B;A;A;A;A;A;B;B;A;E;A;A;B
2,10053E+11;F;GO;C;F;D;F;4;I;A;C;D;B;A;B;B;B;B;B;A;A;B;A;A;E;A;B;B
2,10053E+11;M;GO;H;E;F;B;3;C;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,10052E+11;M;GO;G;G;D;F;6;B;A;B;C;B;A;B;A;A;A;B;A;A;B;A;A;B;A;A;B
2,10054E+11;F;GO;F;F;F;F;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,10051E+11;F;GO;D;E;B;B;3;C;A;C;C;A;B;B;B;B;A;B;A;A;C;B;A;D;B;B;B
2,10053E+11;F;GO;B;F;A;D;2;C;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;C;A;B;B
2,10054E+11;M;GO;B;B;B;B;5;D;A;B;E;A;A;B;B;B;A;B;A;A;B;A;A;E;A;A;B
2,10053E+11;F;GO;E;E;C;B;5;D;A;C;D;B;B;B;B;B;A;B;A;A;B;A;A;E;A;B;B
2,10054E+11;F;GO;D;E;A;D;5;E;A;C;E;B;B;C;B;B;A;B;A;A;B;B;A;E;A;B;B
2,10052E+11;M;GO;E;D;B;B;4;B;A;C;E;A;A;B;B;B;B;B;A;A;B;A;B;E;A;D;B
2,10052E+11;M;GO;B;B;B;B;6;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;B;B;A;A;A
2,10051E+11;M;GO;H;H;D;B;4;B;A;B;D;B;A;B;A;B;A;B;A;A;B;B;A;B;A;B;B
2,10052E+11;F;GO;C;H;B;B;2;B;A;B;C;B;B;B;B;B;A;A;A;A;B;A;A;C;B;A;B
2,10052E+11;F;GO;C;E;C;C;3;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B
2,10054E+11;M;GO;B;B;A;A;5;C;A;B;D;B;A;B;B;B;A;B;A;A;B;A;A;C;A;B;B
2,10053E+11;M;GO;C;H;F;F;4;B;A;B;C;A;B;B;B;B;A;B;A;A;B;A;A;E;A;A;B
2,10053E+11;M;GO;D;D;B;B;3;F;A;C;D;C;B;B;B;B;A;B;A;A;B;A;A;D;A;C;B
2,10053E+11;M;GO;C;D;C;B;3;D;A;C;D;B;A;B;B;B;A;B;A;A;B;A;A;D;A;B;B
2,10054E+11;M;GO;D;D;B;B;5;G;A;B;D;B;A;B;B;A;A;B;A;A;B;A;A;D;A;B;B
2,10054E+11;F;GO;H;E;F;B;5;D;A;B;C;B;B;B;B;B;A;B;A;A;B;B;A;E;B;B;B
2,10052E+11;F;GO;B;C;A;A;2;C;D;B;B;A;A;B;B;B;B;A;A;A;B;A;A;B;A;A;B
2,10052E+11;M;GO;F;F;E;D;4;D;A;C;D;B;B;B;A;B;A;B;A;B;C;A;B;D;A;B;B
2,10054E+11;M;GO;D;E;C;D;4;C;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;C;A;B;B
2,10054E+11;F;GO;B;D;C;B;5;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,10053E+11;M;GO;H;D;F;B;3;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10051E+11;F;GO;B;E;A;D;4;C;A;B;C;B;A;B;B;A;A;A;A;A;B;A;A;C;A;A;B
2,10054E+11;F;GO;C;C;C;B;5;E;A;B;B;B;A;B;B;A;A;A;A;A;B;A;A;C;A;A;B
2,10052E+11;F;GO;D;D;C;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
2,10054E+11;F;GO;E;E;C;B;5;D;A;B;D;B;A;B;B;B;A;A;A;A;B;A;A;C;A;A;B
2,10051E+11;F;GO;E;E;C;F;6;D;A;C;E;C;A;C;B;B;A;C;A;B;D;A;A;E;A;B;B
2,10052E+11;F;GO;C;C;C;A;3;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;B;D;A;A;A
2,10051E+11;F;GO;B;D;D;D;3;C;A;B;C;B;A;B;A;B;A;B;A;A;C;A;B;C;A;A;B
2,10054E+11;F;GO;H;E;D;A;3;G;A;C;C;B;A;C;B;B;A;B;A;B;B;A;B;E;A;C;B
